#Collected by Hyejin Cho and Hui-Hsien Chou
#id	name	control	treatment1	treatment2
eco:b0613	citG	3038.050049	3335.860107	3151.219971
eco:b1573	ydfC	4480.330078	4703.104980	5444.125000
eco:b1374	pinR	0.000000	0.000000	0.000000
eco:b4407	thiS	11057.059570	4001.584961	3375.864990
eco:b4546	ypeB	2464.439941	2340.179932	1691.104980
eco:b0572	cusC	3171.745117	2043.400024	1595.300049
eco:b0225	yafQ	4784.535156	2411.764893	2322.179932
eco:b2459	eutT	4818.779785	3091.899902	2431.290039
eco:b0480	ushA	3880.489990	5441.479980	6489.049805
eco:b4551	yheV	4024.330078	3001.090088	4281.859863
eco:b0607	uspG	2494.260010	5398.549805	4726.259766
eco:b2491	hyfR	2976.350098	5683.939941	5213.330078
eco:b3264	acrS	0.000000	0.000000	0.000000
eco:b0381	ddlA	3209.280029	5359.814941	4489.384766
eco:b2278	nuoL	4159.334961	8238.019531	6674.299805
eco:b4651	yibW	3330.385010	4602.000000	4611.214844
eco:b4011	yjaA	3607.419922	4307.490234	5642.350098
eco:b1712	ihfA	6857.569824	2853.709961	1898.349976
eco:b0312	betB	4609.870117	3632.060059	3830.729980
eco:b4677	yobI	11115.830078	1724.214966	1934.885010
eco:b2730	hypE	2706.889893	3200.270020	1487.349976
eco:b0535	sfmZ	0.000000	0.000000	0.000000
eco:b2514	hisS	4212.919922	6856.330078	4345.229980
eco:b0237	pepD	4879.665039	6649.830078	6666.615234
eco:b2121	yehP	3879.879883	5541.910156	6796.669922
eco:b3649	rpoZ	2407.094971	3277.040039	1055.135010
eco:b1411	ynbD	1574.420044	5787.080078	9463.750000
eco:b2584	pka	0.000000	0.000000	0.000000
eco:b0783	moaC	2094.635010	2500.500000	2064.399902
eco:b0504	allS	5384.410156	2238.229980	2241.360107
eco:b0412	yajI	6507.270020	3540.524902	4184.600098
eco:b3018	plsC	3077.439941	3081.014893	4021.304932
eco:b4174	hflK	5025.299805	7353.354980	4139.125000
eco:b3949	frwC	7565.089844	7787.459961	9426.200195
eco:b3014	yqhH	1572.209961	4488.790039	3293.689941
eco:b0735	ybgE	955.500000	8142.759766	5852.060059
eco:b3527	yhjJ	1729.545044	2522.054932	2689.239990
eco:b3464	ftsY	3919.949951	3447.415039	3003.344971
eco:b4058	uvrA	2726.689941	4067.830078	2160.439941
eco:b2747	ispD	1801.290039	5571.660156	2531.290039
eco:b1925	fliS	3807.300049	5424.035156	6595.290039
eco:b0337	codA	4217.584961	2763.475098	2790.500000
eco:b3416	malQ	5451.064941	5049.540039	6568.350098
eco:b1634	dtpA	4426.819824	5385.625000	6303.274902
eco:b1412	azoR	3605.750000	3786.304932	4401.475098
eco:b1393	paaF	4973.049805	5448.479980	7157.959961
eco:b4569	yhcE	5906.240234	9243.809570	10624.129883
eco:b3579	yiaO	8576.700195	4675.600098	6893.649902
eco:b1153	ymfQ	3201.475098	2673.885010	3284.054932
eco:b3152	yraR	7497.229980	3993.280029	5006.600098
